#,Palavra,Pronúncia,Tradução,Contexto
765,quality,,qualidade,
766,pressure,,pressão,
767,to accept,,aceitar,
768,answer,,resposta,
769,hard,,"difícil, forte",
770,resource,,recurso,
771,to identify,,identificar,
772,left,,esquerdo,
773,meeting,,"encontro, reunião",
774,to determine,,determinar,
775,to prepare,,preparar,
776,disease,,doença,
777,whatever,,qualquer coisa,
778,success,,sucesso,
779,to argue,,"argumentar, brigar…verbalmente",
780,cup,,copo,
781,particularly,,particularmente,
782,amount,,"montante, valor",
783,ability,,abilidade,
784,staff,,pessoal,
785,to recognize,,reconhecer,
786,to indicate,,"indicar, apontar",
787,character,,caráter,
788,growth,,crescimento,
789,loss,,perda,
790,degree,,grau,
791,to wonder,,se perguntar,
792,attack,,ataque,
793,herself,,ela mesmo,
794,region,,região,
795,television,,televisão,
796,box,,caixa,
797,TV,,televisão,
798,training,,treinamento,
799,pretty,,bonito,
800,trade,,"comércio, negócio",
801,deal,,"negócio, acordo",
802,election,,eleição,
803,everybody,,todo mundo,
804,physical,,físico,
805,to lay,,"deitar, colocar, pôr",
806,general,,geral,
807,feeling,,sentimento,
808,standard,,padrão,
809,bill,,conta,
810,message,,mensagem,
811,to fail,,"falhar, fracassar",
812,outside,,lá fora,
813,to arrive,,chegar,
814,analysis,,análise,
815,benefit,,benefício,
816,to name,,nomear,
817,sex,,sexo,
818,forward,,para frente,
819,lawyer,,advodago,
820,to present,,apresentar,
821,section,,"seção, parte, porção",
822,environmental,,ambiental,
823,glass,,vidro,
824,to answer,,responder,
825,skill,,habilidade,
826,sister,,irmã,
827,PM,,pm,
828,professor,,professor,
829,operation,,operação,
830,financial,,financeiro,
831,crime,,crime,
832,stage,,"estágio, etapa",
833,ok,,ok,
834,to compare,,comparar,
835,authority,,autoridade,
836,to miss,,"perder, sentir falta",
837,design,,desenho,
838,sort,,tipo,
839,one,,"um, uma",
840,to act,,agir,
841,ten,,dez,
842,knowledge,,conhecimento,
843,gun,,"arma, pistola",
844,station,,estação,
845,blue,,azul,
846,to state,,"declarar, dizer",
847,strategy,,estratégia,
848,little,,pequeno,
849,clearly,,claramente,
850,to discuss,,"debater, discutir",
851,indeed,,na verdade,
852,to force,,forçar,
853,truth,,verdade,
854,song,,"canção, uma música",
855,example,,exemplo,
856,democratic,,democrático,
857,to check,,"verificar, checar",
858,environment,,meio ambiente,
859,leg,,perna,
860,dark,,escuro,
861,public,,público,
862,various,,vários,
863,rather,,em vez de,
864,to laugh,,rir,
865,to guess,,adivinhar,
866,executive,,executivo,
867,set,,"conjunto, série",
868,to study,,estudar,
869,to prove,,"comprovar, provar",
870,to hang,,"pendurar, enforcar, suspender",
871,entire,,inteiro,
872,rock,,pedra,
873,to design,,"desenhar, projetar",
874,enough,,bastante,
875,to forget,,esquecer,
876,since,,desde,
877,to claim,,"afirmar, alegar",
878,note,,nota,
879,to remove,,remover,
880,manager,,gerente,
881,help,,ajudar,
882,close,,perto,
883,to sound,,soar,
884,to enjoy,,"curtir, gostar, aproveitar",
885,network,,rede,
886,legal,,legal,
887,religious,,religioso,
888,cold,,frio,
889,to form,,formar,
890,final,,final,
891,main,,principal,
892,science,,ciência,
893,green,,verde,
894,memory,,memória,
895,card,,"carão, ficha",
896,above,,"acima de, em cima de",
897,seat,,"assento, cadeira",
898,cell,,célula,
899,to establish,,estabelecer,
900,nice,,"amigável, legal",
901,trial,,"julgamento, processo",
902,expert,,"especialista, perito",
903,that,,"esse, aquele, que",
904,spring,,"primavera, mola, nascente",
905,firm,,firme,
906,Democrat,,democrata,
907,radio,,rádio,
908,to visit,,visitar,
909,management,,gerência,
910,to care,,"importar-se, cuidar",
911,to avoid,,evitar,
912,to imagine,,imaginar,
913,tonight,,hoje à noite,
914,huge,,enorme,
915,ball,,bola,
916,no,,não,
917,close,,perto,
918,to finish,,"terminar, acabar",
919,yourself,,se mesmo,
920,talk,,"falar, conversar",
921,theory,,teoria,
922,impact,,impacto,
923,to respond,,"responder, reagir",
924,statement,,"declaração, afirmação",
925,to maintain,,"manter, ficar",
926,charge,,carga,
927,popular,,popular,
928,traditional,,tradicional,
929,onto,,para cima de,
930,to reveal,,revelar,
931,direction,,direção,
932,weapon,,"arma, armamento",
933,employee,,empregado,
934,cultural,,cultural,
935,to contain,,conter,
936,peace,,paz,
937,to head,,"liderar, dirigir",
938,to control,,controlar,
939,base,,base,
940,pain,,dor,
941,to apply,,aplicar,
942,play,,peça,
943,measure,,medida,
944,wide,,"amplo, largo",
945,to shake,,"sacudir, balançar",
946,to fly,,voar,
947,interview,,entrevista,
948,to manage,,gerenciar,
949,chair,,cadeira,
950,fish,,peixe,
951,particular,,particular,
952,camera,,cámera,
953,structure,,estrutura,
954,politics,,a política,
955,to perform,,"atuar, cumprir",
956,bit,,um pouco,
957,weight,,peso,
958,suddenly,,de repente,
959,to discover,,descobrir,
960,candidate,,candidato,
961,top,,"top, melhor",
962,production,,produção,
963,to treat,,tratar,
964,trip,,viagem,
965,evening,,"tarde, tardinha",
966,to affect,,afetar,
967,inside,,dentro,
968,conference,,conferência,
969,unit,,"unidade,",
970,best,,o melhor,
971,style,,estilo,
972,adult,,adulto,
973,to worry,,preocupar-se,
974,range,,"alcance, extensão, variedade",
975,to mention,,mencionar,
976,rather,,"em vez de, um tatnto",
977,far,,longe,
978,deep,,profundo,
979,past,,passado,
980,edge,,"borda, beira",
981,individual,,individual,
982,specific,,específico,
983,writer,,"autor, escritor",
984,trouble,,"problema, dificuldade, encrenca",
985,necessary,,necessário,
986,throughout,,ao longo de,
987,challenge,,desafio,
988,fear,,medo,
989,shoulder,,hombro,
990,institution,,instituição,
991,middle,,meio,
992,sea,,mar,
993,dream,,sonho,
994,bar,,"bar, barra",
995,beautiful,,"lindo, bonito, belo",
996,property,,"propriedade, patrimônio",
997,instead,,em vez de,
998,to improve,,melhorar,
999,stuff,,"coisas, material",
1000,detail,,detalhe,
1001,method,,método,
1002,to sign,,assinar,
1003,somebody,,alguém,
1004,magazine,,revista,
1005,hotel,,hotel,
1006,soldier,,soldado,
1007,to reflect,,refletir,
1008,heavy,,pesado,
1009,sexual,,sexual,
1010,cause,,causa,
1011,bag,,"bolsa, saco",
1012,heat,,calor,
1013,fall,,queda,
1014,marriage,,casamento,
1015,tough,,"difícil, duro",
1016,to sing,,cantar,
1017,surface,,superfície,
1018,purpose,,propósito,
1019,to exist,,existir,
1020,pattern,,padrão,
1021,whom,,a quem,
1022,skin,,pele,
1023,agent,,agente,
1024,owner,,"proprietário, dono",
1025,machine,,máquina,
1026,gas,,"gás, gasolina",
1027,down,,"abaixo, para baixo",
1028,ahead,,"adiante, à frente",
1029,generation,,geração,
1030,commercial,,comercial,
1031,to address,,"endereçar, discursar",
1032,cancer,,cáncer,
1033,to test,,"examinar, verifica, provar",
1034,item,,item,
1035,reality,,realidade,
1036,coach,,"treinador, técnico",
1037,to step,,"pisar, dar um passo, andar",
1038,Mrs,,senhora,
1039,yard,,"jardim, quintal",
1040,to beat,,"vencer, derrotar",
1041,violence,,violência,
1042,total,,total,
1043,to tend,,tender,
1044,investment,,investimento,
1045,discussion,,discussão,
1046,finger,,dedo,
1047,garden,,jardim,
1048,to notice,,"perceber, notar, ver, observar",
1049,collection,,coleção,
1050,modern,,moderno,
1051,task,,tarefa,
1052,partner,,"parceiro, sócio",
1053,positive,,positivo,
1054,civil,,civil,
1055,kitchen,,cosinha,
1056,consumer,,"consumidor, freguês",
1057,shot,,"tiro, chute, dose",
1058,budget,,orçamento,
1059,to wish,,"desejar, esperar",
1060,painting,,quadro,
1061,scientist,,cientista,
1062,safe,,seguro,
1063,agreement,,acordo,
1064,capital,,capital,
1065,mouth,,boca,
1066,nor,,nem,
1067,victim,,vítima,
1068,newspaper,,jornal,
1069,instead,,em vez de,
1070,threat,,ameaça,
1071,responsibility,,responsibilidade,
1072,to smile,,sorrir,
1073,attorney,,advogado,
1074,score,,"ponto, contagem",
1075,account,,conta,
1076,interesting,,interessante,
1077,break,,"quebra, pausa, ruptura",
1078,audience,,audiência,
1079,rich,,rico,
1080,dinner,,jantar,
1081,to figure,,"descobrir, figurar",
1082,vote,,voto,
1083,western,,ocidental,
1084,to relate,,relatar,
1085,to travel,,viajar,
1086,debate,,debate,
1087,to prevent,,prevenir,
1088,citizen,,cidadão,
1089,majority,,a maioria de,
1090,none,,nenhum,
1091,front,,em frente de,
1092,to be born,,nascer,
1093,to admit,,admitir,
1094,senior,,sénior,
1095,to assume,,"assumir, presumir",
1096,wind,,vento,
1097,key,,chave,
1098,professional,,profissional,
1099,mission,,missão,
1100,fast,,rápido,
1101,alone,,sozinho,
1102,customer,,"cliente, freguês",
1103,to suffer,,sofrir,
1104,speech,,"discurso, fala",
1105,successful,,bem sucedido,
1106,option,,opção,
1107,participant,,participante,
1108,southern,,do sul,
1109,fresh,,fresco,
1110,eventually,,"afinal, eventualmente",
1111,no,,nenhum,
1112,forest,,floresta,
1113,video,,vídeo,
1114,global,,globar,
1115,Senate,,senado,
1116,reform,,reforma,
1117,access,,acesso,
1118,restaurant,,restaurante,
1119,judge,,juíz,
1120,to publish,,publicar,
1121,to cost,,custar,
1122,relation,,relação,
1123,like,,como,
1124,to release,,"liberar, soltar",
1125,to own,,"possuir, ter",
1126,bird,,pássaro,
1127,opinion,,opinião,
1128,credit,,crédito,
1129,critical,,crítico,
1130,corner,,esquina,
1131,concerned,,preocupado,
1132,to recall,,"recolher, lembrar",
1133,version,,versão,
1134,to stare,,compartilhar,
1135,safety,,segurança,
1136,effective,,efetivo,
1137,neighborhood,,vizinhança,
1138,original,,original,
1139,act,,ato,
1140,troop,,tropa,
1141,income,,"renda, rendimento",
1142,directly,,diretamente,
1143,to hurt,,"machucar, prejudicar",
1144,species,,espécie,
1145,immediately,,imediatemente,
1146,track,,"caminho, trajeto, trajetória",
1147,basic,,básico,
1148,to strike,,"atacar, socar",
1149,hope,,esperança,
1150,sky,,céu,
1151,freedom,,liberdade,
1152,absolutely,,absolutamente,
1153,plane,,avião,
1154,nobody,,ninguém,
1155,to achieve,,"alcançar, realizar",
1156,object,,objeto,
1157,attitude,,atitude,
1158,labor,,trabalho,
1159,to refer,,referir-se,
1160,concept,,conceito,
1161,client,,cliente,
1162,powerful,,poderoso,
1163,perfect,,perfeito,
1164,nine,,nove,
1165,therefore,,por tanto,
1166,to conduct,,"conduzir, dirigir",
1167,to announce,,anunciar,
1168,conversation,,conversa,
1169,to examine,,examinar,
1170,to touch,,tocar,
1171,please,,por favor,
1172,to attend,,"atender, assistir",
1173,completely,,completamente,
1174,to vote,,votar,
1175,variety,,variedade,
1176,to sleep,,dormir,
1177,turn,,"vez, volta, curva",
1178,involved,,involvido,
1179,investigation,,investigação,
1180,nuclear,,nuclear,
1181,researcher,,pesquisador,
1182,press,,imprensa,
1183,conflict,,conflito,
1184,spirit,,espírito,
1185,to experience,,experimentar,
1186,to replace,,"substituir, repor, trocar",
1187,British,,"inglês, britânico",
1188,to encourage,,"encorajar, incentivar",
1189,argument,,argumento,
1190,by,,por,
1191,once,,uma vez,
1192,camp,,"campo, acampamento",
1193,brain,,cérebro,
1194,feature,,"característica, aspeto",
1195,afternoon,,tarde,
1196,AM,,am,
1197,weekend,,fim de semana,
1198,dozen,,dúzia,
1199,possibility,,possibilidade,
1200,along,,ao longo de,
1201,insurance,,seguro,
1202,department,,departamento,
1203,battle,,"batalha, guerra",
1204,beginning,,"início, começo",
1205,date,,data,
1206,generally,,geralmente,
1207,African,,africano,
1208,very,,muito,
1209,sorry,,desolado,
1210,crisis,,crise,
1211,to complete,,completar,
1212,fan,,"fã, fanático",
1213,to stick,,"colar, cravar, enfiar, adherir",
1214,to define,,definir,
1215,easily,,facilmente,
1216,through,,a través de,
1217,hole,,buraco,
1218,element,,elemento,
1219,vision,,visão,
1220,status,,estatus,
1221,normal,,normal,
1222,Chinese,,chinês,
1223,ship,,"barco, navio",
1224,solution,,solução,
1225,stone,,pedra,
1226,slowly,,"lentamente, devagar",
1227,scale,,escala,
1228,bit,,um pouco,
1229,university,,universidade,
1230,to introduce,,"apresentar, introduzir",
1231,driver,,"piloto, motorista",
1232,attempt,,tentativa,
1233,park,,parque,
1234,spot,,"lugar, local",
1235,lack,,falta de,
1236,ice,,gelo,
1237,boat,,barco,
1238,to drink,,beber,
1239,sun,,sol,
1240,front,,"liderando, frente",
1241,distance,,distância,
1242,wood,,madeira,
1243,to handle,,"lidar, manipular",
1244,truck,,caminhão,
1245,return,,volta,
1246,mountain,,montanha,
1247,survey,,"pesquisa, avaliação",
1248,supposed,,suposto,
1249,tradition,,tradição,
1250,winter,,inverno,
1251,village,,"vila, vilarejo",
1252,Soviet,,russo,
1253,to refuse,,recusar,
1254,sales,,vendas,
1255,to roll,,rolar,
1256,communication,,comunicação,
1257,run,,corrida,
1258,screen,,tela,
1259,to gain,,"ganhar, aumentar",
1260,resident,,residente,
1261,to hide,,esconder,
1262,gold,,oro,
1263,club,,clube,
1264,future,,futuro,
1265,farm,,fazenda,
1266,potential,,potencial,
1267,increase,,aumento,
1268,middle,,meio,
1269,European,,eurpeu,
1270,presence,,presença,
1271,independent,,independente,
1272,district,,distrito,
1273,shape,,"forma, configuração",
1274,reader,,leitor,
1275,Ms,,senhorita,
1276,contract,,contrato,
1277,crowd,,multidão,
1278,Christian,,cristão,
1279,to express,,expressar,
1280,apartment,,apartamento,
1281,willing,,"disposto, com vontade",
1282,strength,,força,
1283,previous,,"prévio, anterior",
1284,band,,banda,
1285,obviously,,obviamente,
1286,horse,,cavalo,
1287,interested,,interessado,
1288,target,,alvo,
1289,prison,,prisão,
1290,to ride,,"montar, andar…de bike",
1291,guard,,guarda,
1292,terms,,termos,
1293,demand,,"exigência, demanda",
1294,reporter,,"repórter, jornalista",
1295,to deliver,,entregar,
1296,text,,texto,
1297,share,,compartilhar,
1298,tool,,ferramenta,
1299,wild,,selvagem,
1300,vehicle,,veículo,
1301,to observe,,observar,
1302,flight,,voo,
1303,inside,,dentro de,
1304,facility,,"facilidade, instalação",
1305,understanding,,compreensão,
1306,average,,a média,
1307,to emerge,,"surgir, emergir",
1308,advantage,,vantagem,
1309,quick,,rápido,
1310,light,,leve,
1311,leadership,,liderança,
1312,to earn,,ganhar,
1313,pound,,libra…peso,
1314,basis,,base,
1315,bright,,brilhoso,
1316,to operate,,operar,
1317,guest,,convidado,
1318,sample,,amostra,
1319,to contribute,,contribuir,
1320,tiny,,pequeno,
1321,block,,"bloco, quadra",
1322,protection,,proteção,
1323,to settle,,"resolver, decidir",
1324,to feed,,alimentar,
1325,to collect,,"colecionar, juntar",
1326,additional,,adicional,
1327,while,,enquanto,
1328,highly,,altamente,
1329,identity,,identidade,
1330,title,,título,
1331,mostly,,a maioria de,
1332,lesson,,lição,
1333,faith,,fé,
1334,river,,rio,
1335,to promote,,promover,
1336,living,,modo de vida,
1337,present,,presente,
1338,to count,,contar,
1339,unless,,a menos que,
1340,to marry,,casar-se com,
1341,tomorrow,,amanhã,
1342,technique,,técnica,
1343,path,,caminho,
1344,ear,,"orelha, ouvido",
1345,shop,,loja,
1346,folk,,"povo, pessoas",
1347,to order,,pedir,
1348,principle,,princípio,
1349,to survive,,sobreviver,
1350,to lift,,levantar,
1351,border,,"borda, fronteira",
1352,competition,,competição,
1353,to jump,,"pular, saltar",
1354,to gather,,juntar,
1355,to limit,,"limitar, restringir",
1356,to fit,,caber,
1357,claim,,afirmação,
1358,to cry,,chorar,
1359,equipment,,equipamento,
1360,worth,,valor,
1361,to associate,,associar-se,
1362,critic,,crítico,
1363,warm,,"morno, caloroso",
1364,aspect,,aspeto,
1365,to result,,resultar,
1366,to insist,,insistir,
1367,failure,,"falha, fracasso",
1368,annual,,anual,
1369,French,,francês,
1370,Christmas,,natal,
1371,comment,,comentário,
1372,responsible,,responsável,
1373,affair,,caso,
1374,to approach,,aproximar-se,
1375,until,,até,
1376,procedure,,procedimento,
1377,regular,,regular,
1378,to spread,,"espalhar, divulgar",
1379,chairman,,presidente,
1380,baseball,,beisbol,
1381,soft,,"mole, suave, macio",
1382,to ignore,,ignorar,
1383,egg,,ovo,
1384,to measure,,medir,
1385,belief,,crença,
1386,to demonstrate,,demostrar,
1387,anybody,,qualquer um,
1388,murder,,assassinato,
1389,gift,,presente,
1390,religion,,religião,
1391,review,,"revisão, analise",
1392,editor,,editor,
1393,past,,"passado, anterior",
1394,to engage,,engajar,
1395,coffee,,café,
1396,document,,documento,
1397,speed,,velocidade,
1398,to cross,,"cruzar, atravessar",
1399,influence,,influência,
1400,anyway,,de qualquer maneira,
1401,to threaten,,ameaçar,
1402,to commit,,"cometer, comprometer-se",
1403,female,,fêmea,
1404,youth,,jóvem,
1405,wave,,onda,
1406,move,,mudança,
1407,afraid,,"com medo, temoso",
1408,quarter,,quarto,
1409,background,,"histórico, fundo",
1410,native,,nativo,
1411,broad,,largo,
1412,wonderful,,maravilhoso,
1413,to deny,,"negar, recuasr",
1414,apparently,,aparentemente,
1415,slightly,,pouco,
1416,reaction,,reação,
1417,twice,,duas vezes,
1418,suit,,"terno, caso, processo",
1419,perspective,,perspectiva,
1420,growing,,crescente,
1421,to blow,,assoprar,
1422,construction,,construção,
1423,kind,,"amigável, amável",
1424,intelligence,,inteligência,
1425,to destroy,,destruir,
1426,to cook,,cosinhar,
1427,connection,,conecção,
1428,to charge,,carregar,
1429,to burn,,queimar,
1430,shoe,,sapato,
1431,to view,,"ver, observar",
1432,grade,,"grau, classe",
1433,context,,contexto,
1434,committee,,"comissão, comitê",
1435,hey,,oi,
1436,mistake,,"erro, equívoco",
1437,focus,,foco,
1438,smile,,sorriso,
1439,location,,"locação, local",
1440,clothes,,roupa,
1441,Indian,,indiano,
1442,quiet,,silencioso,
1443,to dress,,vestir-se,
1444,to promise,,prometer,
1445,aware,,consciente,
1446,neighbor,,vizinho,
1447,complete,,completo,
1448,drive,,"caminho, percurso",
1449,function,,função,
1450,bone,,osso,
1451,active,,ativo,
1452,to extend,,extender,
1453,chief,,principal,
1454,average,,a média,
1455,to combine,,"combinar, juntar",
1456,wine,,vinho,
1457,below,,"menos, embaixo, abaixo",
1458,cool,,"fresco, frio",
1459,voter,,"eleitor, votante",
1460,mean,,a média,
1461,to demand,,"demandar, exigir",
1462,learning,,"aprendizagem, conhecimento",
1463,bus,,ônibus,
1464,hell,,inferno,
1465,dangerous,,perigoso,
1466,to remind,,lembrar,
1467,moral,,moral,
1468,United,,unido,
1469,category,,categoria,
1470,relatively,,relativamente,
1471,victory,,vitória,
1472,key,,chave,
1473,academic,,académico,
1474,visit,,visita,
1475,Internet,,internet,
1476,healthy,,saudável,
1477,to fire,,"demitir, mandar embora",
1478,negative,,nagativo,
1479,following,,seguinte,
1480,historical,,histórico,
1481,medicine,,medicina,
1482,tour,,"tour, passeio",
1483,to depend,,depender,
1484,photo,,foto,
1485,finding,,"resultado, descoberta",
1486,to grab,,"apanhar, pegar, agarrar",
1487,direct,,direto,
1488,classroom,,sala de aula,
1489,contact,,contato,
1490,justice,,justiça,
1491,to participate,,participar,
1492,daily,,diariamente,
1493,fair,,justo,
1494,pair,,par,
1495,famous,,famoso,
1496,exercise,,exercício,
1497,knee,,joelho,
1498,flower,,flor,
1499,tape,,"fita adhesiva, gravação",
1500,to hire,,contratar,
1501,familiar,,familiar,
1502,appropriate,,apropriado,
1503,supply,,"fornecimento, suprimento",
1504,fully,,"completamente, totalmente",
1505,cut,,"corte, ferida",
1506,will,,vontade,
1507,actor,,ator,
1508,birth,,nascimento,
1509,search,,busca,
1510,to tie,,"amarrar, atar",
1511,democracy,,democracia,
1512,eastern,,oriental,
1513,primary,,"primário, principal",
1514,yesterday,,ontem,
1515,circle,,círculo,
1516,device,,dispositivo,
1517,progress,,progresso,
1518,next,,próximo,
1519,front,,frente,
1520,bottom,,fundo,
1521,island,,ilha,
1522,exchange,,troca,
1523,clean,,limpo,
1524,studio,,estúdio,
1525,to train,,"treinar, praticar",
1526,lady,,mulher,
1527,colleague,,colega,
1528,application,,aplicação,
1529,neck,,pescoço,
1530,to lean,,aprender,
1531,damage,,"dano, prejuízo",
1532,plastic,,plástico,
1533,tall,,alto,
1534,plate,,prato,
1535,to hate,,odiar,
1536,otherwise,,de outro modo,
1537,writing,,escritura,
1538,to press,,"apertar, prensar",
1539,male,,"macho, masculino",
1540,start,,"início, começo",
1541,alive,,vivo,
1542,expression,,expressão,
1543,football,,futebol,
1544,to intend,,pretender,
1545,to attack,,atacar,
1546,chicken,,"galinha, frango",
1547,army,,exército,
1548,abuse,,abuso,
1549,theater,,teatro,
1550,to shut,,fechar,
1551,map,,mapa,
1552,extra,,extra,
1553,session,,sessão,
1554,danger,,perigo,
1555,to welcome,,"acolher, receber",
1556,domestic,,doméstico,
1557,lots,,muitos,
1558,literature,,literatura,
1559,rain,,chuva,
1560,desire,,desejo,
1561,assessment,,avaliação,
1562,injury,,"lesão, prejuízo, injuria",
1563,respect,,respeito,
1564,northern,,do norte,
1565,to nod,,abanar,
1566,to paint,,pintar,
1567,fuel,,combustível,
1568,leaf,,folha,
1569,to direct,,"direcionar, dirigir",
1570,dry,,seco,
1571,Russian,,russo,
1572,instruction,,instrução,
1573,fight,,"briga, luta",
1574,pool,,piscina,
1575,to climb,,"escalar, subir",
1576,sweet,,doce,
1577,lead,,liderança,
1578,engine,,motor,
1579,fourth,,quarto,
1580,salt,,sal,
1581,to expand,,"expandir, aumentar",
1582,importance,,importância,
1583,metal,,metal,
1584,fat,,gordo,
1585,ticket,,bilhete,
1586,software,,software,
1587,to disappear,,desaparecer,
1588,corporate,,corporativo,
1589,strange,,estranho,
1590,lip,,lábio,
1591,reading,,leitura,
1592,urban,,urbano,
1593,mental,,mental,
1594,increasingly,,cada vez mais,
1595,lunch,,almoço,
1596,educational,,educacional,
1597,somewhere,,algum lugar,
1598,farmer,,"fazendeiro, agricultor",
1599,above,,acima de,
1600,sugar,,açúcar,
1601,planet,,planeta,
1602,favorite,,favorito,
1603,to explore,,explorar,
1604,to obtain,,obter,
1605,enemy,,inimigo,
1606,greatest,,o melhor,
1607,complex,,complexo,
1608,to surround,,cercar,
1609,athlete,,atleta,
1610,to invite,,convidar,
1611,to repeat,,repetir,
1612,carefully,,"cuidadosamente, com cuidado",
1613,soul,,alma,
1614,scientific,,científico,
1615,impossible,,impossível,
1616,panel,,painel,
1617,meaning,,significado,
1618,mom,,mãe,
1619,married,,casado,
1620,alone,,sozinho,
1621,instrument,,instrumento,
1622,to predict,,prever,
1623,weather,,"clima, tempo",
1624,presidential,,presidencial,
1625,emotional,,emocional,
1626,commitment,,"comprometimento, compromisso",
1627,Supreme,,supremo,
1628,to bear,,aguentar,
1629,pocket,,bolso,
1630,thin,,afinar,
1631,temperature,,temperatura,
1632,surprise,,surpresa,
1633,poll,,enquete,
1634,proposal,,proposta,
1635,consequence,,consequência,
1636,half,,metade,
1637,breath,,respiração,
1638,sight,,visão,
1639,cover,,tampa,
1640,balance,,saldo,
1641,to adopt,,adotar,
1642,minority,,minoria,
1643,straight,,"direto, reto",
1644,to attempt,,tentar,
1645,to connect,,conectar,
1646,works,,"trabalhos, projetos",
1647,teaching,,ensino,
1648,to belong,,pertencer,
1649,aid,,ajuda,
1650,advice,,conselho,
1651,okay,,ok,
1652,photograph,,fotografia,
1653,empty,,vazio,
1654,regional,,regional,
1655,trail,,trilha,
1656,novel,,novela,
1657,code,,código,
1658,somehow,,de alguma forma,
1659,to organize,,organizar,
1660,jury,,júri,
1661,breast,,"seio, peito",
1662,Iraqi,,iraquiano,
1663,human,,humano,
1664,to acknowledge,,reconhecer,
1665,theme,,tema,
1666,storm,,tempestade,
1667,union,,união,
1668,to record,,gravar,
1669,desk,,escrivaninha,
1670,to fear,,temer,
1671,thanks,,"obrigado, graças",
1672,fruit,,fruta,
1673,under,,sob,
1674,expensive,,caro,
1675,yellow,,amarelo,
1676,conclusion,,conclusão,
1677,prime,,"o melhor, de primeira",
1678,shadow,,sombra,
1679,to struggle,,lutar,
1680,to conclude,,concluir,
1681,analyst,,analista,
1682,dance,,dança,
1683,limit,,limite,
1684,like,,como,
1685,regulation,,regulamento,
1686,being,,ser,
1687,to last,,durar,
1688,ring,,anel,
1689,largely,,"principalmente, amplamente",
1690,to shift,,"mudar, trocar",
1691,revenue,,receita,
1692,to mark,,marcar,
1693,to locate,,localizar,
1694,county,,município,
1695,appearance,,aparência,
1696,package,,pacote,
1697,difficulty,,dificuldade,
1698,bridge,,ponte,
1699,to recommend,,recomendar,
1700,obvious,,óbvio,
1701,train,,"trem, comboio",
1702,basically,,basicamente,
1703,e-mail,,email,
1704,to generate,,gerar,
1705,anymore,,não...mais,
1706,to propose,,propor,
1707,thinking,,pensamento,
1708,possibly,,possivelmente,
1709,trend,,tendência,
1710,visitor,,visitante,
1711,loan,,empréstimo,
1712,currently,,atualmente,
1713,comfortable,,confortável,
1714,investor,,investidor,
1715,but,,mas,
1716,profit,,lucro,
1717,angry,,nervoso,
1718,crew,,"equipe, time",
1719,deep,,profundo,
1720,accident,,acidente,
1721,male,,macho,
1722,meal,,refeição,
1723,hearing,,audição,
1724,traffic,,"tráfego, tránsito",
1725,muscle,,músculo,
1726,notion,,noção,
1727,to capture,,capturar,
1728,to prefer,,preferir,
1729,truly,,verdadeiramente,
1730,earth,,terra,
1731,Japanese,,japonês,
1732,chest,,peito,
1733,to search,,procurar,
1734,thick,,grosso,
1735,cash,,dinheiro,
1736,museum,,museu,
1737,beauty,,beleza,
1738,emergency,,emergência,
1739,unique,,"exclusivo, único",
1740,to feature,,apresentar,
1741,internal,,interno,
1742,ethnic,,étnico,
1743,to link,,"vincular, lincar, unir",
1744,stress,,estresse,
1745,content,,contente,
1746,to select,,selecionar,
1747,root,,raiz,
1748,nose,,nariz,
1749,to declare,,declarar,
1750,outside,,do lado de fora de,
1751,to appreciate,,apreciar,
1752,actual,,real,
1753,bottle,,garrafa,
1754,hardly,,dificilmente,
1755,setting,,contexto,
1756,to launch,,lançar,
1757,dress,,vestido,
1758,file,,arquivo,
1759,sick,,doente,
1760,outcome,,resultado,
1761,ad,,anúncio,
1762,to defend,,defender,
1763,to matter,,importar,
1764,to judge,,julgar,
1765,duty,,dever,
1766,sheet,,folha,
1767,ought,,dever,
1768,to ensure,,garantir,
1769,Catholic,,católico,
1770,extremely,,extremamente,
1771,extent,,extensão,
1772,component,,componente,
1773,to mix,,misturar,
1774,long-term,,de longo prazo,
1775,slow,,devagar,
1776,contrast,,contraste,
1777,zone,,zona,
1778,to wake,,acordar,
1779,to challenge,,desafiar,
1780,airport,,aeroporto,
1781,chief,,chefe,
1782,brown,,castanho,
1783,standard,,padrão,
1784,shirt,,camisa,
1785,pilot,,piloto,
1786,to warn,,avisar,
1787,ultimately,,em última análise,
1788,cat,,gato,
1789,contribution,,contribuição,
1790,capacity,,capacidade,
1791,ourselves,,nós mesmos,
1792,estate,,estado,
1793,guide,,guia,
1794,circumstance,,circunstância,
1795,snow,,neve,
1796,English,,inglês,
1797,politician,,político,
1798,to steal,,roubar,
1799,to pursue,,perseguir,
1800,to slip,,escorregar,
1801,percentage,,percentagem,
1802,meat,,carne,
1803,funny,,engraçado,
1804,neither,,nem,
1805,soil,,solo,
1806,to influence,,influenciar,
1807,surgery,,cirurgia,
1808,correct,,correto,
1809,Jewish,,judaico,
1810,to blame,,culpar,
1811,to estimate,,estimar,
1812,due,,vencimento,
1813,basketball,,basquetebol,
1814,late,,atrasado,
1815,golf,,golfe,
1816,to investigate,,investigar,
1817,crazy,,louco,
1818,significantly,,significativamente,
1819,chain,,"cadeia, corrente",
1820,address,,"endereço, morada",
1821,branch,,"ramo, agência",
1822,combination,,combinação,
1823,just,,"somente, apenas",
1824,frequently,,freqüentemente,
1825,governor,,governador,
